time,acceleration_x,acceleration_y,acceleration_z
35961,1.065,1.152,2.426
35991,1.058,1.152,1.229
36020,1.058,1.152,0.448
36049,1.055,1.155,0.842
36078,1.058,1.152,2.403
36107,1.055,1.152,1.387
36136,1.048,1.152,0.445
36165,1.055,1.152,1.097
36195,1.058,1.152,2.403
36224,1.055,1.155,0.955
36253,1.055,1.148,0.445
36282,1.052,1.152,1.397
36311,1.055,1.158,2.419
36340,1.058,1.148,0.994
36369,1.055,1.152,0.426
36399,1.061,1.155,1.555
36427,1.058,1.148,2.426
36457,1.058,1.152,0.706
36486,1.055,1.148,0.435
36515,1.058,1.152,1.968
36544,1.055,1.155,2.435
36573,1.055,1.148,0.516
36602,1.055,1.148,0.435
36631,1.058,1.152,2.326
36661,1.055,1.148,2.419
36689,1.052,1.155,0.465
36719,1.055,1.145,0.435
36748,1.058,1.148,2.377
36776,1.061,1.152,2.442
36806,1.052,1.148,0.458
36835,1.058,1.152,0.403
36865,1.058,1.152,2.381
36893,1.058,1.152,2.423
